CRVUSDT,HFTUSDT
"[1672568100000, '0.525', '0.527', '0.525', '0.527', '372794.1', 1672568999999, '196118.9589', 290, '348229.4', '183199.1869', '0']","[1680848100000, '0.6282000', '0.6301000', '0.6268000', '0.6285000', '274963', 1680848999999, '172807.6940000', 994, '113646', '71464.5367000', '0']"
"[1672569000000, '0.526', '0.528', '0.526', '0.527', '334729.1', 1672569899999, '176370.7965', 419, '284230.8', '149800.2293', '0']","[1680849000000, '0.6284000', '0.6287000', '0.6250000', '0.6281000', '223458', 1680849899999, '140093.8580000', 993, '95008', '59604.5419000', '0']"
"[1672569900000, '0.528', '0.528', '0.526', '0.528', '680946.9', 1672570799999, '358692.1430', 579, '314759.9', '165887.2237', '0']","[1680849900000, '0.6280000', '0.6314000', '0.6277000', '0.6308000', '199854', 1680850799999, '125895.2123000', 1261, '136450', '85965.6814000', '0']"
"[1672570800000, '0.527', '0.528', '0.526', '0.527', '412138.1', 1672571699999, '217170.2860', 305, '89607.7', '47237.3021', '0']","[1680850800000, '0.6309000', '0.6317000', '0.6276000', '0.6301000', '285918', 1680851699999, '180117.4197000', 947, '131586', '82951.9682000', '0']"
"[1672571700000, '0.527', '0.527', '0.524', '0.524', '1133726.5', 1672572599999, '595714.0078', 790, '499045.1', '262289.5092', '0']","[1680851700000, '0.6301000', '0.6304000', '0.6264000', '0.6302000', '133593', 1680852599999, '83988.3384000', 611, '76571', '48159.7691000', '0']"
"[1672572600000, '0.524', '0.526', '0.524', '0.525', '368726.1', 1672573499999, '193572.7593', 296, '237776.2', '124856.1931', '0']","[1680852600000, '0.6301000', '0.6301000', '0.6255000', '0.6277000', '269617', 1680853499999, '169053.1340000', 991, '120431', '75535.5613000', '0']"
"[1672573500000, '0.526', '0.526', '0.524', '0.525', '783216.3', 1672574399999, '411147.5667', 508, '282151.4', '148144.6165', '0']","[1680853500000, '0.6276000', '0.6276000', '0.6220000', '0.6257000', '503851', 1680854399999, '314777.3488000', 2050, '192698', '120400.4219000', '0']"
"[1672574400000, '0.525', '0.527', '0.525', '0.527', '543889.8', 1672575299999, '285957.8205', 857, '371865.0', '195621.6241', '0']","[1680854400000, '0.6256000', '0.6261000', '0.6195000', '0.6257000', '569254', 1680855299999, '354594.9050000', 1864, '268041', '166959.9922000', '0']"
"[1672575300000, '0.527', '0.527', '0.525', '0.526', '339067.5', 1672576199999, '178296.5167', 387, '113691.9', '59823.4345', '0']","[1680855300000, '0.6255000', '0.6264000', '0.6221000', '0.6247000', '205307', 1680856199999, '128098.2913000', 1242, '91296', '57000.4921000', '0']"
"[1672576200000, '0.526', '0.526', '0.524', '0.524', '376299.1', 1672577099999, '197553.7015', 356, '193214.1', '101461.0922', '0']","[1680856200000, '0.6249000', '0.6297000', '0.6234000', '0.6241000', '363456', 1680857099999, '227688.0313000', 1239, '209833', '131571.9328000', '0']"
"[1672577100000, '0.525', '0.525', '0.524', '0.524', '135595.2', 1672577999999, '71138.2647', 341, '86379.9', '45349.4475', '0']","[1680857100000, '0.6241000', '0.6261000', '0.6173000', '0.6200000', '433961', 1680857999999, '269355.0766000', 1766, '163478', '101576.7251000', '0']"
"[1672578000000, '0.525', '0.525', '0.524', '0.525', '175742.5', 1672578899999, '92173.4465', 443, '84376.5', '44297.6625', '0']","[1680858000000, '0.6200000', '0.6232000', '0.6197000', '0.6231000', '249520', 1680858899999, '154895.9148000', 1075, '78050', '48471.6970000', '0']"
"[1672578900000, '0.524', '0.525', '0.522', '0.523', '1851324.9', 1672579799999, '968328.0553', 1275, '773170.6', '404440.4586', '0']","[1680858900000, '0.6232000', '0.6244000', '0.6224000', '0.6229000', '138660', 1680859799999, '86434.1009000', 875, '72608', '45266.1776000', '0']"
"[1672579800000, '0.523', '0.524', '0.522', '0.523', '525440.0', 1672580699999, '274766.4317', 575, '198799.1', '104037.9633', '0']","[1680859800000, '0.6230000', '0.6253000', '0.6200000', '0.6245000', '225383', 1680860699999, '140222.7135000', 1075, '117716', '73296.8112000', '0']"
"[1672580700000, '0.523', '0.523', '0.522', '0.522', '485899.6', 1672581599999, '253927.1397', 637, '287548.5', '150387.8655', '0']","[1680860700000, '0.6247000', '0.6268000', '0.6232000', '0.6237000', '179386', 1680861599999, '112069.0841000', 777, '108022', '67496.5524000', '0']"
"[1672581600000, '0.523', '0.524', '0.522', '0.522', '622294.3', 1672582499999, '325527.4611', 670, '326660.5', '170932.6858', '0']","[1680861600000, '0.6239000', '0.6257000', '0.6237000', '0.6240000', '136098', 1680862499999, '85008.5248000', 691, '67166', '41963.6734000', '0']"
"[1672582500000, '0.523', '0.523', '0.520', '0.522', '1578614.7', 1672583399999, '822854.3532', 1600, '499759.9', '260779.8417', '0']","[1680862500000, '0.6246000', '0.6277000', '0.6240000', '0.6255000', '254093', 1680863399999, '159016.4918000', 1317, '90941', '56963.2244000', '0']"
"[1672583400000, '0.521', '0.522', '0.519', '0.519', '858576.2', 1672584299999, '446549.5120', 1013, '254573.2', '132561.8025', '0']","[1680863400000, '0.6252000', '0.6278000', '0.6250000', '0.6264000', '157114', 1680864299999, '98365.1188000', 677, '53518', '33529.0820000', '0']"
"[1672584300000, '0.520', '0.521', '0.519', '0.521', '731629.7', 1672585199999, '380503.6166', 753, '468244.8', '243584.4996', '0']","[1680864300000, '0.6260000', '0.6263000', '0.6199000', '0.6210000', '441660', 1680865199999, '274896.0127000', 1530, '123881', '77088.4897000', '0']"
"[1672585200000, '0.520', '0.521', '0.520', '0.520', '555111.7', 1672586099999, '289005.3026', 641, '347218.6', '180900.8906', '0']","[1680865200000, '0.6212000', '0.6223000', '0.6190000', '0.6191000', '319688', 1680866099999, '198382.2141000', 1301, '121780', '75620.3917000', '0']"
"[1672586100000, '0.521', '0.521', '0.519', '0.520', '1060613.5', 1672586999999, '551271.3852', 941, '451256.8', '234713.5166', '0']","[1680866100000, '0.6191000', '0.6201000', '0.6166000', '0.6197000', '224674', 1680866999999, '138916.8639000', 849, '114930', '71082.5425000', '0']"
"[1672587000000, '0.520', '0.521', '0.520', '0.521', '226792.6', 1672587899999, '118029.9127', 383, '97760.7', '50933.3247', '0']","[1680867000000, '0.6197000', '0.6197000', '0.6167000', '0.6177000', '374532', 1680867899999, '231371.9766000', 1365, '173411', '107169.1286000', '0']"
"[1672587900000, '0.520', '0.522', '0.519', '0.522', '1037891.1', 1672588799999, '539930.5824', 1179, '531260.0', '276553.7364', '0']","[1680867900000, '0.6177000', '0.6187000', '0.6105000', '0.6145000', '528866', 1680868799999, '325104.8587000', 1838, '205933', '126653.4536000', '0']"
"[1672588800000, '0.521', '0.523', '0.521', '0.521', '1142435.9', 1672589699999, '596185.1543', 1057, '609790.2', '318328.8988', '0']","[1680868800000, '0.6146000', '0.6176000', '0.6141000', '0.6154000', '500190', 1680869699999, '308065.8891000', 1238, '244985', '150854.1823000', '0']"
