CRVUSDT,HFTUSDT
"[1672677000000, '0.547', '0.547', '0.546', '0.547', '192993.8', 1672677899999, '105513.2867', 292, '138671.9', '75853.5293', '0']","[1680957000000, '0.6156000', '0.6169000', '0.6142000', '0.6146000', '80992', 1680957899999, '49850.6624000', 429, '39557', '24357.4312000', '0']"
"[1672677900000, '0.547', '0.547', '0.543', '0.543', '618099.8', 1672678799999, '336834.2342', 716, '145779.7', '79517.6518', '0']","[1680957900000, '0.6146000', '0.6158000', '0.6139000', '0.6155000', '65833', 1680958799999, '40465.2078000', 241, '19491', '11988.6885000', '0']"
"[1672678800000, '0.543', '0.546', '0.543', '0.544', '1067910.7', 1672679699999, '581630.4900', 752, '610906.9', '332806.5612', '0']","[1680958800000, '0.6155000', '0.6171000', '0.6142000', '0.6144000', '92133', 1680959699999, '56726.7229000', 425, '25739', '15856.2525000', '0']"
"[1672679700000, '0.545', '0.545', '0.543', '0.543', '314929.6', 1672680599999, '171322.2215', 331, '63404.6', '34521.7853', '0']","[1680959700000, '0.6144000', '0.6152000', '0.6107000', '0.6121000', '311910', 1680960599999, '191037.3609000', 1209, '68242', '41827.3929000', '0']"
"[1672680600000, '0.544', '0.545', '0.541', '0.543', '1334011.1', 1672681499999, '724501.9519', 995, '613179.2', '333142.3601', '0']","[1680960600000, '0.6122000', '0.6122000', '0.6107000', '0.6112000', '194843', 1680961499999, '119034.5604000', 619, '29114', '17804.5002000', '0']"
"[1672681500000, '0.542', '0.543', '0.540', '0.541', '525386.2', 1672682399999, '284495.2255', 538, '154704.1', '83778.9467', '0']","[1680961500000, '0.6113000', '0.6122000', '0.6107000', '0.6107000', '264598', 1680962399999, '161648.8930000', 817, '23544', '14396.2119000', '0']"
"[1672682400000, '0.541', '0.542', '0.539', '0.540', '779021.3', 1672683299999, '421276.7016', 804, '265389.8', '143581.0719', '0']","[1680962400000, '0.6108000', '0.6143000', '0.6108000', '0.6114000', '101766', 1680963299999, '62331.6921000', 490, '57574', '35277.3258000', '0']"
"[1672683300000, '0.540', '0.541', '0.538', '0.538', '840760.0', 1672684199999, '453663.0032', 916, '314859.0', '170045.4320', '0']","[1680963300000, '0.6115000', '0.6129000', '0.6107000', '0.6120000', '92132', 1680964199999, '56351.8804000', 541, '33974', '20790.9374000', '0']"
"[1672684200000, '0.538', '0.540', '0.538', '0.540', '313269.0', 1672685099999, '168890.4244', 335, '258357.1', '139293.6292', '0']","[1680964200000, '0.6121000', '0.6139000', '0.6113000', '0.6125000', '76647', 1680965099999, '46957.6220000', 466, '41068', '25170.4177000', '0']"
"[1672685100000, '0.539', '0.542', '0.538', '0.539', '1340795.7', 1672685999999, '724474.5234', 1148, '769677.1', '416026.9571', '0']","[1680965100000, '0.6125000', '0.6126000', '0.6107000', '0.6113000', '79701', 1680965999999, '48715.7147000', 336, '21103', '12901.5136000', '0']"
"[1672686000000, '0.538', '0.539', '0.537', '0.539', '546662.6', 1672686899999, '294083.7770', 925, '341217.5', '183612.5433', '0']","[1680966000000, '0.6112000', '0.6121000', '0.6042000', '0.6063000', '430643', 1680966899999, '261596.5168000', 1640, '113896', '69208.0851000', '0']"
"[1672686900000, '0.538', '0.539', '0.537', '0.537', '331763.0', 1672687799999, '178375.0777', 599, '115033.5', '61892.2662', '0']","[1680966900000, '0.6068000', '0.6082000', '0.6052000', '0.6072000', '116617', 1680967799999, '70762.4018000', 633, '45672', '27733.9205000', '0']"
"[1672687800000, '0.537', '0.538', '0.537', '0.537', '209721.0', 1672688699999, '112755.8197', 370, '135642.7', '72975.7726', '0']","[1680967800000, '0.6071000', '0.6076000', '0.6050000', '0.6067000', '159721', 1680968699999, '96893.6489000', 648, '85234', '51737.0591000', '0']"
"[1672688700000, '0.538', '0.540', '0.537', '0.538', '1572405.6', 1672689599999, '846825.8112', 1370, '802625.0', '432264.4847', '0']","[1680968700000, '0.6066000', '0.6078000', '0.6063000', '0.6076000', '55584', 1680969599999, '33740.1901000', 250, '26465', '16069.6793000', '0']"
"[1672689600000, '0.538', '0.539', '0.536', '0.538', '1097669.5', 1672690499999, '589797.9003', 1051, '548916.1', '295029.6438', '0']","[1680969600000, '0.6076000', '0.6089000', '0.6068000', '0.6086000', '104009', 1680970499999, '63175.7615000', 388, '68443', '41581.2351000', '0']"
"[1672690500000, '0.537', '0.539', '0.537', '0.539', '343656.0', 1672691399999, '184848.7596', 431, '282163.8', '151813.0287', '0']","[1680970500000, '0.6083000', '0.6090000', '0.6068000', '0.6074000', '55892', 1680971399999, '33981.9993000', 281, '17105', '10406.8544000', '0']"
"[1672691400000, '0.538', '0.539', '0.536', '0.537', '739293.2', 1672692299999, '397438.0680', 626, '363315.8', '195336.5048', '0']","[1680971400000, '0.6074000', '0.6082000', '0.6062000', '0.6075000', '43167', 1680972299999, '26211.2105000', 332, '13637', '8282.5315000', '0']"
"[1672692300000, '0.538', '0.538', '0.536', '0.537', '325567.9', 1672693199999, '174826.9477', 349, '104447.2', '56109.2005', '0']","[1680972300000, '0.6075000', '0.6087000', '0.6066000', '0.6072000', '52511', 1680973199999, '31911.3844000', 233, '24546', '14927.8846000', '0']"
"[1672693200000, '0.536', '0.538', '0.535', '0.535', '1344628.0', 1672694099999, '721203.1662', 1110, '644627.0', '345940.9570', '0']","[1680973200000, '0.6075000', '0.6090000', '0.6052000', '0.6080000', '170336', 1680974099999, '103397.3523000', 560, '56896', '34579.2659000', '0']"
"[1672694100000, '0.536', '0.537', '0.534', '0.536', '2289317.5', 1672694999999, '1225854.3576', 1673, '1216098.0', '651472.8774', '0']","[1680974100000, '0.6076000', '0.6085000', '0.6042000', '0.6056000', '164079', 1680974999999, '99421.8553000', 554, '75310', '45658.4649000', '0']"
"[1672695000000, '0.536', '0.538', '0.536', '0.537', '781747.9', 1672695899999, '419922.6537', 777, '459378.2', '246833.7889', '0']","[1680975000000, '0.6054000', '0.6061000', '0.6029000', '0.6038000', '157694', 1680975899999, '95306.9829000', 461, '71366', '43160.7162000', '0']"
"[1672695900000, '0.537', '0.539', '0.536', '0.539', '1210509.0', 1672696799999, '650798.3521', 653, '647474.8', '348050.2360', '0']","[1680975900000, '0.6037000', '0.6074000', '0.6020000', '0.6068000', '636112', 1680976799999, '384752.9683000', 1893, '336066', '203391.5779000', '0']"
"[1672696800000, '0.539', '0.539', '0.536', '0.537', '740701.6', 1672697699999, '398293.6544', 638, '160154.9', '86206.2536', '0']","[1680976800000, '0.6067000', '0.6068000', '0.6022000', '0.6034000', '327776', 1680977699999, '197960.5333000', 853, '136287', '82326.2645000', '0']"
"[1672697700000, '0.536', '0.537', '0.536', '0.537', '306486.0', 1672698599999, '164463.5776', 383, '187081.6', '100462.8192', '0']","[1680977700000, '0.6036000', '0.6052000', '0.6032000', '0.6048000', '81041', 1680978599999, '48970.6345000', 365, '33686', '20358.4725000', '0']"
"[1672698600000, '0.537', '0.537', '0.534', '0.536', '825793.6', 1672699499999, '441889.7552', 1011, '537004.8', '287426.0234', '0']","[1680978600000, '0.6048000', '0.6049000', '0.6015000', '0.6030000', '115837', 1680979499999, '69843.8219000', 490, '39851', '24034.9367000', '0']"
"[1672699500000, '0.535', '0.536', '0.532', '0.532', '1235389.8', 1672700399999, '658763.6360', 1432, '385766.8', '205724.8886', '0']","[1680979500000, '0.6029000', '0.6037000', '0.5929000', '0.5949000', '628263', 1680980399999, '375481.6217000', 2177, '152825', '91509.6465000', '0']"
"[1672700400000, '0.533', '0.536', '0.532', '0.535', '2566211.2', 1672701299999, '1371498.9184', 1822, '1386112.1', '740800.6468', '0']","[1680980400000, '0.5948000', '0.5984000', '0.5930000', '0.5980000', '328002', 1680981299999, '195270.3209000', 1293, '149020', '88779.1996000', '0']"
"[1672701300000, '0.534', '0.536', '0.533', '0.533', '920981.0', 1672702199999, '492310.3853', 904, '452880.4', '242163.5472', '0']","[1680981300000, '0.5977000', '0.5984000', '0.5912000', '0.5977000', '542507', 1680982199999, '322597.2301000', 1816, '263876', '157096.9568000', '0']"
"[1672702200000, '0.534', '0.535', '0.532', '0.533', '1028567.5', 1672703099999, '548922.7897', 808, '491147.6', '262244.9639', '0']","[1680982200000, '0.5975000', '0.5977000', '0.5942000', '0.5954000', '109826', 1680983099999, '65418.5134000', 576, '68591', '40860.0326000', '0']"
"[1672703100000, '0.534', '0.534', '0.532', '0.533', '1507778.4', 1672703999999, '803584.1140', 1179, '784911.6', '418426.1590', '0']","[1680983100000, '0.5958000', '0.5970000', '0.5948000', '0.5967000', '183228', 1680983999999, '109232.3470000', 804, '56098', '33454.3930000', '0']"
"[1672704000000, '0.534', '0.534', '0.532', '0.533', '660566.7', 1672704899999, '352299.9645', 1023, '342633.8', '182842.8613', '0']","[1680984000000, '0.5968000', '0.5985000', '0.5966000', '0.5982000', '76711', 1680984899999, '45818.7705000', 440, '40174', '24003.3231000', '0']"
"[1672704900000, '0.533', '0.534', '0.531', '0.531', '871931.1', 1672705799999, '463935.6023', 1112, '253959.9', '135200.7316', '0']","[1680984900000, '0.5984000', '0.5994000', '0.5980000', '0.5989000', '134951', 1680985799999, '80795.2289000', 777, '73857', '44227.2841000', '0']"
"[1672705800000, '0.532', '0.535', '0.531', '0.534', '1103525.1', 1672706699999, '588490.5905', 1145, '829861.1', '442464.4352', '0']","[1680985800000, '0.5987000', '0.5991000', '0.5971000', '0.5977000', '88195', 1680986699999, '52755.5925000', 441, '33362', '19955.5571000', '0']"
"[1672706700000, '0.535', '0.535', '0.533', '0.534', '732597.1', 1672707599999, '391316.3587', 684, '288895.9', '154416.5224', '0']","[1680986700000, '0.5978000', '0.5985000', '0.5970000', '0.5979000', '37805', 1680987599999, '22600.6894000', 217, '16629', '9941.5187000', '0']"
"[1672707600000, '0.534', '0.534', '0.532', '0.532', '520010.3', 1672708499999, '277127.2088', 545, '220084.0', '117347.0576', '0']","[1680987600000, '0.5979000', '0.5982000', '0.5956000', '0.5962000', '89736', 1680988499999, '53611.2866000', 380, '29884', '17853.6992000', '0']"
"[1672708500000, '0.533', '0.533', '0.530', '0.531', '875442.5', 1672709399999, '464812.5407', 1030, '140933.5', '74934.3155', '0']","[1680988500000, '0.5968000', '0.5977000', '0.5950000', '0.5954000', '66401', 1680989399999, '39607.0882000', 457, '15519', '9263.9057000', '0']"
"[1672709400000, '0.530', '0.532', '0.529', '0.530', '1310952.6', 1672710299999, '695240.1071', 1345, '642088.6', '340621.4221', '0']","[1680989400000, '0.5956000', '0.5962000', '0.5944000', '0.5951000', '81248', 1680990299999, '48374.1962000', 465, '38089', '22687.8960000', '0']"
"[1672710300000, '0.531', '0.532', '0.530', '0.531', '723198.7', 1672711199999, '383913.5815', 730, '403251.4', '214141.6473', '0']","[1680990300000, '0.5952000', '0.5956000', '0.5941000', '0.5949000', '68917', 1680991199999, '41001.3373000', 343, '22643', '13474.1489000', '0']"
"[1672711200000, '0.531', '0.532', '0.530', '0.532', '1261544.2', 1672712099999, '670441.4580', 1234, '722632.8', '384150.4868', '0']","[1680991200000, '0.5953000', '0.5971000', '0.5950000', '0.5965000', '112684', 1680992099999, '67184.1771000', 462, '56214', '33521.2061000', '0']"
"[1672712100000, '0.532', '0.533', '0.530', '0.530', '610163.7', 1672712999999, '324348.4931', 508, '182788.6', '97225.4677', '0']","[1680992100000, '0.5961000', '0.5963000', '0.5921000', '0.5922000', '167937', 1680992999999, '99723.4544000', 646, '65316', '38805.2111000', '0']"
"[1672713000000, '0.530', '0.532', '0.529', '0.530', '1119278.6', 1672713899999, '593673.6890', 1038, '452962.4', '240369.5324', '0']","[1680993000000, '0.5921000', '0.5948000', '0.5921000', '0.5940000', '52640', 1680993899999, '31244.1916000', 334, '34410', '20422.2178000', '0']"
"[1672713900000, '0.531', '0.531', '0.528', '0.528', '1012212.1', 1672714799999, '535623.8076', 1040, '330033.8', '174701.3522', '0']","[1680993900000, '0.5941000', '0.5969000', '0.5941000', '0.5969000', '75630', 1680994799999, '45042.7342000', 321, '31823', '18962.6236000', '0']"
"[1672714800000, '0.528', '0.530', '0.527', '0.529', '2016824.2', 1672715699999, '1066305.2712', 1304, '943973.4', '499203.2556', '0']","[1680994800000, '0.5967000', '0.5978000', '0.5951000', '0.5958000', '111850', 1680995699999, '66700.2891000', 510, '34590', '20635.4059000', '0']"
"[1672715700000, '0.528', '0.531', '0.527', '0.530', '887765.7', 1672716599999, '469617.6713', 820, '529920.0', '280388.6742', '0']","[1680995700000, '0.5960000', '0.5979000', '0.5955000', '0.5955000', '77446', 1680996599999, '46231.3523000', 459, '29352', '17528.9286000', '0']"
"[1672716600000, '0.530', '0.530', '0.528', '0.528', '770631.5', 1672717499999, '407561.9678', 815, '330467.3', '174885.5764', '0']","[1680996600000, '0.5955000', '0.5967000', '0.5946000', '0.5956000', '67895', 1680997499999, '40433.0375000', 355, '29773', '17731.3678000', '0']"
"[1672717500000, '0.528', '0.531', '0.528', '0.530', '748143.1', 1672718399999, '396298.3625', 713, '371142.8', '196625.1587', '0']","[1680997500000, '0.5955000', '0.5960000', '0.5933000', '0.5944000', '50510', 1680998399999, '30033.8637000', 249, '19947', '11872.4455000', '0']"
"[1672718400000, '0.529', '0.532', '0.528', '0.531', '650570.9', 1672719299999, '344693.4214', 990, '429678.6', '227801.2884', '0']","[1680998400000, '0.5943000', '0.6009000', '0.5943000', '0.6007000', '275601', 1680999299999, '164801.5702000', 1157, '185290', '110816.6048000', '0']"
"[1672719300000, '0.532', '0.532', '0.531', '0.531', '493745.9', 1672720199999, '262284.8522', 569, '211417.5', '112368.4718', '0']","[1680999300000, '0.6008000', '0.6069000', '0.6007000', '0.6061000', '350190', 1681000199999, '211593.6496000', 1225, '211012', '127411.7693000', '0']"
"[1672720200000, '0.531', '0.532', '0.531', '0.531', '279469.0', 1672721099999, '148505.9580', 478, '107919.0', '57412.9080', '0']","[1681000200000, '0.6061000', '0.6061000', '0.6023000', '0.6025000', '152626', 1681001099999, '92157.4166000', 860, '69520', '41991.3187000', '0']"
"[1672721100000, '0.531', '0.532', '0.530', '0.531', '1022074.6', 1672721999999, '542697.6380', 867, '554219.5', '294316.7003', '0']","[1681001100000, '0.6025000', '0.6046000', '0.5998000', '0.6007000', '285451', 1681001999999, '171757.5511000', 1110, '80004', '48164.6737000', '0']"
"[1672722000000, '0.531', '0.532', '0.530', '0.531', '332892.4', 1672722899999, '176764.8567', 799, '178560.8', '94844.3212', '0']","[1681002000000, '0.6007000', '0.6037000', '0.6007000', '0.6032000', '53021', 1681002899999, '31934.1830000', 282, '27302', '16445.1606000', '0']"
"[1672722900000, '0.531', '0.533', '0.531', '0.531', '731078.4', 1672723799999, '389072.0833', 999, '411762.4', '219220.5778', '0']","[1681002900000, '0.6032000', '0.6039000', '0.6011000', '0.6025000', '54436', 1681003799999, '32783.4149000', 383, '19673', '11853.9408000', '0']"
"[1672723800000, '0.532', '0.533', '0.531', '0.532', '1032163.9', 1672724699999, '548959.8733', 1078, '478599.0', '254661.4774', '0']","[1681003800000, '0.6027000', '0.6047000', '0.6025000', '0.6038000', '72726', 1681004699999, '43911.9044000', 258, '58988', '35623.9263000', '0']"
"[1672724700000, '0.533', '0.534', '0.532', '0.533', '396694.7', 1672725599999, '211399.0924', 692, '255379.1', '136142.7809', '0']","[1681004700000, '0.6038000', '0.6072000', '0.6028000', '0.6067000', '112497', 1681005599999, '68043.9611000', 383, '77945', '47154.0915000', '0']"
"[1672725600000, '0.533', '0.535', '0.533', '0.533', '1003013.6', 1672726499999, '535745.8229', 1351, '526318.4', '281260.8226', '0']","[1681005600000, '0.6065000', '0.6067000', '0.6051000', '0.6052000', '74898', 1681006499999, '45396.9733000', 492, '47149', '28581.6400000', '0']"
"[1672726500000, '0.534', '0.536', '0.533', '0.535', '489123.8', 1672727399999, '261441.1869', 830, '366913.4', '196177.0192', '0']","[1681006500000, '0.6052000', '0.6060000', '0.6028000', '0.6035000', '67274', 1681007399999, '40679.0755000', 330, '25202', '15248.4677000', '0']"
"[1672727400000, '0.535', '0.537', '0.532', '0.533', '1728050.9', 1672728299999, '923197.6182', 1826, '681658.4', '364248.9141', '0']","[1681007400000, '0.6035000', '0.6075000', '0.6033000', '0.6056000', '293153', 1681008299999, '177484.0596000', 1124, '189640', '114806.1570000', '0']"
"[1672728300000, '0.534', '0.534', '0.532', '0.532', '1084478.0', 1672729199999, '578095.0776', 1036, '526546.8', '280749.7862', '0']","[1681008300000, '0.6062000', '0.6077000', '0.6044000', '0.6050000', '74781', 1681009199999, '45306.6415000', 603, '31921', '19345.2071000', '0']"
"[1672729200000, '0.532', '0.533', '0.532', '0.532', '262667.0', 1672730099999, '139833.1764', 626, '94332.4', '50279.1692', '0']","[1681009200000, '0.6050000', '0.6051000', '0.6043000', '0.6047000', '50213', 1681010099999, '30361.5116000', 187, '28073', '16974.1882000', '0']"
"[1672730100000, '0.532', '0.533', '0.528', '0.529', '2310569.0', 1672730999999, '1224516.1356', 1795, '689721.8', '365595.0594', '0']","[1681010100000, '0.6046000', '0.6047000', '0.6023000', '0.6037000', '47812', 1681010999999, '28852.7568000', 331, '25105', '15145.0389000', '0']"
"[1672731000000, '0.529', '0.531', '0.529', '0.530', '463115.0', 1672731899999, '245424.5303', 595, '311360.1', '165102.3196', '0']","[1681011000000, '0.6037000', '0.6042000', '0.6031000', '0.6041000', '18705', 1681011899999, '11293.4012000', 122, '2922', '1764.7562000', '0']"
"[1672731900000, '0.531', '0.531', '0.530', '0.530', '244881.0', 1672732799999, '129937.3090', 500, '150379.0', '79851.2490', '0']","[1681011900000, '0.6041000', '0.6050000', '0.6032000', '0.6032000', '22063', 1681012799999, '13330.7407000', 130, '7866', '4751.9422000', '0']"
"[1672732800000, '0.531', '0.532', '0.528', '0.528', '1010825.6', 1672733699999, '535383.4270', 1246, '403402.6', '213701.9275', '0']","[1681012800000, '0.6032000', '0.6032000', '0.6011000', '0.6016000', '62048', 1681013699999, '37353.6144000', 308, '20373', '12270.4399000', '0']"
"[1672733700000, '0.529', '0.529', '0.526', '0.527', '970542.4', 1672734599999, '511803.8340', 1268, '348993.1', '184175.0182', '0']","[1681013700000, '0.6017000', '0.6027000', '0.6015000', '0.6018000', '39088', 1681014599999, '23543.7326000', 194, '16012', '9647.3360000', '0']"
"[1672734600000, '0.527', '0.528', '0.526', '0.527', '947219.0', 1672735499999, '499297.6370', 836, '465109.7', '245247.7432', '0']","[1681014600000, '0.6022000', '0.6036000', '0.6022000', '0.6035000', '27518', 1681015499999, '16587.3467000', 166, '11134', '6710.9942000', '0']"
"[1672735500000, '0.527', '0.529', '0.527', '0.528', '404728.7', 1672736399999, '213604.9671', 568, '280388.2', '148063.0355', '0']","[1681015500000, '0.6035000', '0.6035000', '0.6019000', '0.6020000', '33729', 1681016399999, '20328.9676000', 157, '9673', '5829.7839000', '0']"
"[1672736400000, '0.528', '0.530', '0.528', '0.529', '674189.7', 1672737299999, '356603.8327', 892, '359352.0', '190139.7955', '0']","[1681016400000, '0.6020000', '0.6035000', '0.6019000', '0.6033000', '19217', 1681017299999, '11579.2996000', 128, '5158', '3107.7025000', '0']"
"[1672737300000, '0.530', '0.531', '0.529', '0.531', '755413.7', 1672738199999, '400099.7361', 833, '410570.7', '217501.7638', '0']","[1681017300000, '0.6035000', '0.6059000', '0.6022000', '0.6059000', '51224', 1681018199999, '30922.0268000', 200, '32231', '19460.4317000', '0']"
"[1672738200000, '0.530', '0.532', '0.529', '0.531', '662305.0', 1672739099999, '351325.1553', 728, '398270.4', '211358.3632', '0']","[1681018200000, '0.6055000', '0.6055000', '0.6023000', '0.6030000', '33578', 1681019099999, '20295.3746000', 171, '14617', '8836.0442000', '0']"
"[1672739100000, '0.531', '0.532', '0.530', '0.530', '631276.9', 1672739999999, '335258.1535', 726, '219395.5', '116560.5428', '0']","[1681019100000, '0.6026000', '0.6029000', '0.6001000', '0.6004000', '31891', 1681019999999, '19172.0723000', 172, '10521', '6323.4712000', '0']"
"[1672740000000, '0.530', '0.532', '0.530', '0.531', '538695.2', 1672740899999, '286131.5273', 818, '273206.0', '145182.3807', '0']","[1681020000000, '0.6004000', '0.6016000', '0.5938000', '0.5969000', '189601', 1681020899999, '113196.5456000', 763, '66132', '39464.3949000', '0']"
"[1672740900000, '0.530', '0.533', '0.530', '0.532', '1013601.5', 1672741799999, '539223.9821', 986, '685755.4', '364864.2307', '0']","[1681020900000, '0.5969000', '0.5972000', '0.5948000', '0.5959000', '63473', 1681021799999, '37807.8884000', 244, '44143', '26294.1233000', '0']"
"[1672741800000, '0.532', '0.534', '0.531', '0.533', '976044.1', 1672742699999, '519776.1692', 909, '546398.8', '291064.9426', '0']","[1681021800000, '0.5967000', '0.5978000', '0.5956000', '0.5964000', '48734', 1681022699999, '29079.7429000', 195, '18944', '11304.0596000', '0']"
"[1672742700000, '0.532', '0.534', '0.532', '0.533', '493682.5', 1672743599999, '263108.0696', 567, '342404.2', '182521.8916', '0']","[1681022700000, '0.5966000', '0.5970000', '0.5938000', '0.5952000', '106195', 1681023599999, '63214.8028000', 313, '38767', '23083.9060000', '0']"
"[1672743600000, '0.532', '0.533', '0.531', '0.532', '350181.9', 1672744499999, '186404.8687', 733, '138726.1', '73918.2364', '0']","[1681023600000, '0.5950000', '0.5950000', '0.5926000', '0.5941000', '96009', 1681024499999, '56985.5661000', 362, '53038', '31484.1071000', '0']"
"[1672744500000, '0.531', '0.532', '0.531', '0.531', '100676.5', 1672745399999, '53499.4468', 394, '40225.3', '21399.8596', '0']","[1681024500000, '0.5940000', '0.5959000', '0.5935000', '0.5952000', '39250', 1681025399999, '23339.6016000', 179, '12969', '7710.7251000', '0']"
"[1672745400000, '0.531', '0.535', '0.531', '0.531', '1218134.5', 1672746299999, '649141.3609', 1354, '521012.3', '277774.2542', '0']","[1681025400000, '0.5954000', '0.5962000', '0.5935000', '0.5946000', '45171', 1681026299999, '26894.2272000', 307, '12186', '7253.2396000', '0']"
"[1672746300000, '0.531', '0.532', '0.530', '0.531', '967796.7', 1672747199999, '513778.6609', 1104, '397145.1', '210891.5182', '0']","[1681026300000, '0.5946000', '0.5950000', '0.5937000', '0.5938000', '36970', 1681027199999, '21976.8833000', 152, '3083', '1833.7295000', '0']"
"[1672747200000, '0.531', '0.531', '0.530', '0.531', '289204.1', 1672748099999, '153385.9900', 827, '107817.0', '57250.8270', '0']","[1681027200000, '0.5939000', '0.5941000', '0.5926000', '0.5926000', '62905', 1681028099999, '37332.6725000', 186, '27619', '16392.8217000', '0']"
"[1672748100000, '0.530', '0.532', '0.528', '0.530', '1977857.2', 1672748999999, '1047926.4025', 1551, '1088484.6', '576830.7093', '0']","[1681028100000, '0.5936000', '0.5947000', '0.5924000', '0.5940000', '78423', 1681028999999, '46557.2361000', 259, '41557', '24680.2037000', '0']"
"[1672749000000, '0.530', '0.532', '0.530', '0.531', '736607.6', 1672749899999, '391447.0201', 858, '471775.7', '250811.5247', '0']","[1681029000000, '0.5940000', '0.5962000', '0.5932000', '0.5960000', '106414', 1681029899999, '63325.8271000', 302, '69201', '41183.5972000', '0']"
"[1672749900000, '0.531', '0.532', '0.529', '0.531', '1368078.3', 1672750799999, '725721.5856', 1159, '587817.5', '311869.5263', '0']","[1681029900000, '0.5959000', '0.5966000', '0.5916000', '0.5935000', '141681', 1681030799999, '84171.7752000', 711, '58011', '34499.6559000', '0']"
"[1672750800000, '0.530', '0.532', '0.530', '0.531', '1081901.7', 1672751699999, '574405.4028', 1093, '452030.3', '240072.1773', '0']","[1681030800000, '0.5937000', '0.5967000', '0.5937000', '0.5960000', '74003', 1681031699999, '44052.5076000', 270, '43184', '25701.8379000', '0']"
"[1672751700000, '0.530', '0.533', '0.530', '0.532', '758029.0', 1672752599999, '403148.5259', 709, '503412.7', '267746.9905', '0']","[1681031700000, '0.5964000', '0.5967000', '0.5934000', '0.5938000', '67554', 1681032599999, '40164.1332000', 354, '26876', '15981.1914000', '0']"
"[1672752600000, '0.532', '0.532', '0.531', '0.532', '843196.5', 1672753499999, '447871.7455', 804, '466638.4', '247919.3944', '0']","[1681032600000, '0.5938000', '0.5944000', '0.5925000', '0.5943000', '42355', 1681033499999, '25132.3865000', 232, '22325', '13249.7360000', '0']"
"[1672753500000, '0.532', '0.534', '0.530', '0.531', '1406912.1', 1672754399999, '748702.6129', 1311, '778316.6', '414475.6285', '0']","[1681033500000, '0.5941000', '0.5959000', '0.5941000', '0.5952000', '33440', 1681034399999, '19904.5972000', 156, '19356', '11523.9249000', '0']"
"[1672754400000, '0.531', '0.533', '0.530', '0.532', '1582291.5', 1672755299999, '841136.2588', 1333, '972907.9', '517234.6232', '0']","[1681034400000, '0.5951000', '0.5979000', '0.5950000', '0.5966000', '57924', 1681035299999, '34540.6174000', 228, '33886', '20213.0200000', '0']"
"[1672755300000, '0.532', '0.532', '0.530', '0.531', '1650186.9', 1672756199999, '876596.2041', 1351, '730143.7', '387950.8411', '0']","[1681035300000, '0.5975000', '0.5982000', '0.5941000', '0.5968000', '146536', 1681036199999, '87394.7177000', 564, '61983', '36980.4044000', '0']"
"[1672756200000, '0.532', '0.534', '0.530', '0.532', '1029481.7', 1672757099999, '547426.1426', 1077, '637020.0', '338903.8240', '0']","[1681036200000, '0.5968000', '0.5971000', '0.5937000', '0.5940000', '86123', 1681037099999, '51226.9860000', 307, '38067', '22645.3981000', '0']"
"[1672757100000, '0.532', '0.533', '0.523', '0.525', '5275332.8', 1672757999999, '2782430.8555', 4250, '2111393.3', '1113043.6645', '0']","[1681037100000, '0.5939000', '0.5956000', '0.5934000', '0.5937000', '54130', 1681037999999, '32175.8529000', 241, '19592', '11647.4269000', '0']"
"[1672758000000, '0.525', '0.528', '0.524', '0.526', '1540454.7', 1672758899999, '810701.7018', 1923, '788995.0', '415311.6395', '0']","[1681038000000, '0.5938000', '0.5970000', '0.5938000', '0.5960000', '46372', 1681038899999, '27631.0499000', 381, '23279', '13866.5222000', '0']"
"[1672758900000, '0.527', '0.527', '0.522', '0.524', '3084853.3', 1672759799999, '1616703.8805', 2603, '1279234.3', '670396.6421', '0']","[1681038900000, '0.5962000', '0.5974000', '0.5948000', '0.5956000', '48639', 1681039799999, '29006.6244000', 338, '23675', '14130.4418000', '0']"
"[1672759800000, '0.524', '0.526', '0.521', '0.523', '3811542.8', 1672760699999, '1993813.4879', 3208, '1949577.8', '1020411.2429', '0']","[1681039800000, '0.5957000', '0.5997000', '0.5956000', '0.5996000', '45999', 1681040699999, '27500.6957000', 244, '18774', '11222.1025000', '0']"
"[1672760700000, '0.524', '0.525', '0.523', '0.524', '1363730.0', 1672761599999, '714474.2628', 1348, '587610.6', '307959.1486', '0']","[1681040700000, '0.5997000', '0.5998000', '0.5981000', '0.5997000', '39403', 1681041599999, '23612.6823000', 182, '13216', '7918.7865000', '0']"
"[1672761600000, '0.524', '0.528', '0.524', '0.524', '3083264.7', 1672762499999, '1621756.7634', 2747, '1579852.2', '831014.3781', '0']","[1681041600000, '0.5996000', '0.5998000', '0.5949000', '0.5962000', '191357', 1681042499999, '114201.2201000', 692, '73144', '43652.9533000', '0']"
"[1672762500000, '0.524', '0.525', '0.522', '0.523', '1580668.3', 1672763399999, '827836.6172', 1710, '693670.3', '363344.6113', '0']","[1681042500000, '0.5961000', '0.5987000', '0.5960000', '0.5980000', '87375', 1681043399999, '52171.7600000', 499, '31739', '18961.9097000', '0']"
"[1672763400000, '0.523', '0.526', '0.522', '0.526', '1745735.4', 1672764299999, '914083.7852', 1600, '1089098.7', '570535.3577', '0']","[1681043400000, '0.5981000', '0.6007000', '0.5981000', '0.5988000', '78267', 1681044299999, '46913.7735000', 301, '36563', '21907.1498000', '0']"
